vendor,S|P,PO_Group,Product_Code,Vendor_Code_List,Quantity,Plus_or_Minus,Base_Curve,Diameter,MF_Add_Power,Cylinder,Sphere_1,Sphere_2,Product_Type
175,S,AA,null,null,null,null,null,null,null,null,null,null,null
107,S,AA,7026,null,25,null,null,null,null,null,null,null,null
107,S,AB,7059,null,12,null,null,null,null,null,null,null,null
107,S,AC,7034,null,50,null,null,null,null,null,null,null,null
107,S,AC,7036,null,50,null,null,null,null,null,null,null,null
107,S,AD,7041,null,15,null,85,142,null,null,null,null,null
107,S,AE,7041,null,15,null,null,null,null,null,null,null,null
107,S,AF,7055,null,15,null,null,null,null,null,null,null,null
107,S,AF,7072,null,25,null,null,null,null,null,null,null,null
107,S,AG,7009,null,16,null,85,143,null,null,null,null,null
107,S,AH,7009,null,16,null,null,null,null,null,null,null,null
107,S,AI,7053,null,15,null,null,null,null,null,null,null,null
107,S,AI,7051,null,100,null,null,null,null,null,null,null,null
107,S,AJ,7010,null,100,null,null,null,null,null,null,null,null
107,S,AJ,7050,null,100,null,null,null,null,null,null,null,null
107,S,AK,7019,null,50,null,null,null,null,null,null,null,null
107,S,AK,7032,null,100,null,null,null,null,null,null,null,null
107,S,AL,7037,null,16,null,null,null,null,null,null,null,null
107,S,AM,7035,null,50,null,null,null,null,null,null,null,null
107,S,AN,7075,null,50,null,null,null,null,null,null,null,null
107,S,AO,7073,null,50,null,null,null,null,null,null,null,null
107,S,AP,7049,null,14,null,null,null,null,-075,null,null,null
107,S,AQ,7049,null,14,null,null,null,null,-125,null,null,null
107,S,AR,7049,null,14,null,null,null,null,-175,null,null,null
107,S,AS,7049,null,14,null,null,null,null,-225,null,null,null
107,S,AT,7049,null,null,null,null,null,null,null,null,null,null
107,S,BA,7031,null,null,null,null,null,null,null,null,null,null
107,S,BA,7032,null,null,null,null,null,null,null,null,null,null
107,S,BB,7034,null,null,+,null,null,null,-075,0025,0075,null
107,S,BB,7035,null,null,+,null,null,null,-075,0025,0075,null
107,S,BB,7036,null,null,+,null,null,null,-075,0025,0075,null
107,S,BC,7034,null,null,+,null,null,null,-125,0025,0075,null
107,S,BC,7035,null,null,+,null,null,null,-125,0025,0075,null
107,S,BC,7036,null,null,+,null,null,null,-125,0025,0075,null
107,S,BD,7034,null,null,+,null,null,null,-175,0025,0075,null
107,S,BD,7035,null,null,+,null,null,null,-175,0025,0075,null
107,S,BD,7036,null,null,+,null,null,null,-175,0025,0075,null
107,S,BE,7034,null,null,+,null,null,null,-225,0025,0075,null
107,S,BE,7035,null,null,+,null,null,null,-225,0025,0075,null
107,S,BE,7036,null,null,+,null,null,null,-225,0025,0075,null
107,S,BF,7034,null,null,+,null,null,null,-275,0025,0075,null
107,S,BF,7035,null,null,+,null,null,null,-275,0025,0075,null
107,S,BF,7036,null,null,+,null,null,null,-275,0025,0075,null
107,S,BG,7034,null,null,+,null,null,null,-075,0100,0175,null
107,S,BG,7035,null,null,+,null,null,null,-075,0100,0175,null
107,S,BG,7036,null,null,+,null,null,null,-075,0100,0175,null
107,S,BH,7034,null,null,+,null,null,null,-125,0100,0175,null
107,S,BH,7035,null,null,+,null,null,null,-125,0100,0175,null
107,S,BH,7036,null,null,+,null,null,null,-125,0100,0175,null
107,S,BI,7034,null,null,+,null,null,null,-175,0100,0175,null
107,S,BI,7035,null,null,+,null,null,null,-175,0100,0175,null
107,S,BI,7036,null,null,+,null,null,null,-175,0100,0175,null
107,S,BJ,7034,null,null,+,null,null,null,-225,0100,0175,null
107,S,BJ,7035,null,null,+,null,null,null,-225,0100,0175,null
107,S,BJ,7036,null,null,+,null,null,null,-225,0100,0175,null
107,S,BK,7034,null,null,+,null,null,null,-275,0100,0175,null
107,S,BK,7035,null,null,+,null,null,null,-275,0100,0175,null
107,S,BK,7036,null,null,+,null,null,null,-275,0100,0175,null
107,S,BL,7034,null,null,+,null,null,null,-075,0200,0275,null
107,S,BL,7035,null,null,+,null,null,null,-075,0200,0275,null
107,S,BL,7036,null,null,+,null,null,null,-075,0200,0275,null
107,S,BM,7034,null,null,+,null,null,null,-125,0200,0275,null
107,S,BM,7035,null,null,+,null,null,null,-125,0200,0275,null
107,S,BM,7036,null,null,+,null,null,null,-125,0200,0275,null
107,S,BN,7034,null,null,+,null,null,null,-175,0200,0275,null
107,S,BN,7035,null,null,+,null,null,null,-175,0200,0275,null
107,S,BN,7036,null,null,+,null,null,null,-175,0200,0275,null
107,S,BO,7034,null,null,+,null,null,null,-225,0200,0275,null
107,S,BO,7035,null,null,+,null,null,null,-225,0200,0275,null
107,S,BO,7036,null,null,+,null,null,null,-225,0200,0275,null
107,S,BP,7034,null,null,+,null,null,null,-275,0200,0275,null
107,S,BP,7035,null,null,+,null,null,null,-275,0200,0275,null
107,S,BP,7036,null,null,+,null,null,null,-275,0200,0275,null
107,S,BQ,7034,null,null,+,null,null,null,-075,0300,0375,null
107,S,BQ,7035,null,null,+,null,null,null,-075,0300,0375,null
107,S,BQ,7036,null,null,+,null,null,null,-075,0300,0375,null
107,S,BR,7034,null,null,+,null,null,null,-125,0300,0375,null
107,S,BR,7035,null,null,+,null,null,null,-125,0300,0375,null
107,S,BR,7036,null,null,+,null,null,null,-125,0300,0375,null
107,S,BS,7034,null,null,+,null,null,null,-175,0300,0375,null
107,S,BS,7035,null,null,+,null,null,null,-175,0300,0375,null
107,S,BS,7036,null,null,+,null,null,null,-175,0300,0375,null
107,S,BT,7034,null,null,+,null,null,null,-225,0300,0375,null
107,S,BT,7035,null,null,+,null,null,null,-225,0300,0375,null
107,S,BT,7036,null,null,+,null,null,null,-225,0300,0375,null
107,S,BU,7034,null,null,+,null,null,null,-275,0300,0375,null
107,S,BU,7035,null,null,+,null,null,null,-275,0300,0375,null
107,S,BU,7036,null,null,+,null,null,null,-275,0300,0375,null
107,S,BV,7034,null,null,+,null,null,null,-075,0400,0475,null
107,S,BV,7035,null,null,+,null,null,null,-075,0400,0475,null
107,S,BV,7036,null,null,+,null,null,null,-075,0400,0475,null
107,S,BW,7034,null,null,+,null,null,null,-125,0400,0475,null
107,S,BW,7035,null,null,+,null,null,null,-125,0400,0475,null
107,S,BW,7036,null,null,+,null,null,null,-125,0400,0475,null
107,S,BX,7034,null,null,+,null,null,null,-175,0400,0475,null
107,S,BX,7035,null,null,+,null,null,null,-175,0400,0475,null
